NUMBER	GLOSS	BURMISH_GLOSS	CONCEPTICON_ID	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
1	above	above	1741	0731	0	???	8

2	all	all	98	0962	9	all	1

3	the ant	the ant	587	0365	17	ant	3

4	the armpit	the armpit	1886	0092	21	armpit	3

5	bad	bad	1292	1053	34	bad	1

6	the bamboo	the bamboo	1927	0389	38	bamboo	3

7	the barley (tibetan or highland)	the barley (tibetan or highland)	932	0411	44	barley	3

8	to be alive	to be alive	1422	1087	8	alive	3

9	the belly	the belly	1251	0096	58	belly / stomach	3

10	below, under	below, under	1485	0732	0	???	8

11	big	big	1202	0964	62	big	1

12	the bird	the bird	937	0326	65	bird	3

13	to bite	to bite	1403	1753	67	bite	3

14	black	black	163	1005	69	black	1

15	the blood	the blood	946	0129	74	blood	3

16	to blow (of wind)	to blow (of wind)	175	1738	75	blow (of wind)	3

17	the body hair (hair or fur)	the body hair (hair or fur)	189	0266	83	body hair	3

18	the bone	the bone	1394	0133	85	bone	3

19	the branch	the branch	1531	0374	92	branch	3

20	the breast (female)	the breast (female)	1402	0094	132	chest / breast	3

21	to burn [intransitive]	to burn [intransitive]	1428	1269	109	burn	3

22	to buy	to buy	1869	1516	113	buy	3

23	to chew	to chew	321	1424	133	chew	3

24	the child (young human)	the child (young human)	1304	0169	134	child	3

25	the cloud	the cloud	1489	0007	143	cloud	3

26	cold (of temperature)	cold (of temperature)	1287	1063	148	cold	2

27	to come	to come	1446	1491	153	come	3

28	correct (right)	correct (right)	1725	1045	161	correct	2

29	to count	to count	1420	1640	163	count	3

30	to cry (weep)	to cry (weep)	1839	1485	172	cry (of animal) / bark	3

31	dark	dark	706	1013	181	dark	1

32	the daughter	the daughter	1357	0222	182	daughter	3

33	the dew	the dew	1977	0015	0	???	8

34	to die	to die	1494	1651	194	die	3

35	to dig	to dig	1418	1698	195	dig	3

36	dirty	dirty	1230	1086	198	dirty	1

37	the dog	the dog	2009	0289	202	dog	3

38	the dream	the dream	2374	0699	208	dream	3

39	to drink	to drink	1401	1370	210	drink	3

40	dry	dry	1398	1028	212	dry	1
40	dry	dry	1398	1028	214	dry up	5
40	dry	dry	1398	1028	???	???	8

41	the dust	the dust	2	0045	218	dust	3

42	the ear	the ear	1247	0081	221	ear	3

43	early	early	672	1018	222	early	1

44	the earth (soil)	the earth (soil)	1228	0040	0	???	8

45	the earthworm	the earthworm	2350	0363	223	earthworm	3

46	to eat	to eat	1336	1198	226	eat	3

47	the egg	the egg	744	0450	227	egg	3

48	eight	eight	1705	0804	229	eight	1

49	the eye	the eye	1248	0079	241	eye	3

50	far	far	1406	0974	251	far	1

51	the father	the father	1217	0218	256	father	3

52	the feather	the feather	1201	0299	260	feather	3

53	to fight	to fight	1423	1234	0	???	8

54	the fire	the fire	221	0018	271	fire	3

55	firewood	firewood	10	0534	0	???	8

56	the fish	the fish	227	0351	274	fish	3

57	five	small	493	0801	278	five	1

58	the flea	the flea	232	0355	280	flea	3

59	to float	to float	1574	1553	283	float	3

60	to flow	to flow	2003	1502	284	flow	3

61	the flower	the flower	239	0377	285	flower	3

62	to fly (move through air)	to fly (move through air)	1441	1318	286	fly	3

63	the fog	the fog	249	0016	288	fog	3

64	the foot	the foot	1301	0103	291	foot	3

65	the forest	the forest	420	0050	338	grove / forest	3

